               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 140,            0.016505,           0.0076692,                   0,             0.81067,             0.58426,             0.71077,             0.43504,            0.018062,           0.0041337,                   0,            0.003745,            0.003745,            0.003745
                 141,            0.013986,           0.0054186,                   0,             0.81071,             0.58441,             0.73192,             0.48518,            0.017112,           0.0040475,                   0,              0.0037,              0.0037,              0.0037
                 142,             0.01737,           0.0076822,                   0,             0.74638,             0.63636,             0.74288,             0.50715,            0.016754,           0.0039713,                   0,            0.003655,            0.003655,            0.003655
                 143,            0.016866,           0.0066675,                   0,              0.7611,             0.63636,             0.74853,             0.52341,            0.016644,           0.0039441,                   0,             0.00361,             0.00361,             0.00361
                 144,            0.015041,           0.0053171,                   0,             0.91348,             0.59091,             0.75352,              0.5373,            0.016697,           0.0038629,                   0,            0.003565,            0.003565,            0.003565
                 145,            0.017466,           0.0051466,                   0,             0.82482,             0.64233,             0.75841,             0.51217,            0.018134,            0.003823,                   0,             0.00352,             0.00352,             0.00352
                 146,            0.015132,           0.0052301,                   0,                0.83,             0.66637,             0.76352,             0.54094,            0.016518,           0.0037895,                   0,            0.003475,            0.003475,            0.003475
                 147,            0.014611,           0.0063537,                   0,              0.8179,             0.68182,             0.77266,             0.52779,            0.016685,           0.0036924,                   0,             0.00343,             0.00343,             0.00343
                 148,            0.013198,           0.0051105,                   0,             0.91662,             0.59091,              0.7685,             0.53678,            0.015874,           0.0036935,                   0,            0.003385,            0.003385,            0.003385
                 149,            0.014371,           0.0051526,                   0,             0.91754,             0.59091,             0.76678,             0.49898,            0.015958,           0.0037081,                   0,             0.00334,             0.00334,             0.00334
                 150,            0.013097,           0.0068939,                   0,              0.9211,             0.59091,             0.75888,             0.52565,            0.015879,           0.0037837,                   0,            0.003295,            0.003295,            0.003295
                 151,            0.016466,           0.0047973,                   0,             0.86403,             0.57833,             0.74587,             0.52641,            0.016135,           0.0038526,                   0,             0.00325,             0.00325,             0.00325
                 152,            0.014096,           0.0041268,                   0,             0.80993,             0.59091,             0.74019,             0.50141,            0.017327,           0.0038607,                   0,            0.003205,            0.003205,            0.003205
                 153,            0.014884,           0.0050786,                   0,             0.70821,             0.68182,             0.73025,             0.53195,            0.017163,           0.0038282,                   0,             0.00316,             0.00316,             0.00316
                 154,            0.019352,           0.0074018,                   0,             0.78113,             0.68182,             0.73848,             0.51915,            0.018261,           0.0038192,                   0,            0.003115,            0.003115,            0.003115
                 155,            0.014963,           0.0056158,                   0,             0.76841,             0.68182,             0.73368,              0.5211,            0.017995,           0.0038208,                   0,             0.00307,             0.00307,             0.00307
                 156,            0.012605,           0.0038174,                   0,             0.78549,             0.68182,             0.72138,             0.50542,            0.019101,           0.0038741,                   0,            0.003025,            0.003025,            0.003025
                 157,            0.012743,            0.004731,                   0,             0.78735,             0.67356,             0.71621,             0.51345,              0.0184,           0.0039441,                   0,             0.00298,             0.00298,             0.00298
                 158,            0.013561,           0.0062961,                   0,             0.78495,             0.68182,              0.7392,             0.46951,             0.01976,           0.0038576,                   0,            0.002935,            0.002935,            0.002935
                 159,            0.013977,           0.0043679,                   0,             0.69281,             0.72727,             0.72143,             0.45505,            0.018556,           0.0039538,                   0,             0.00289,             0.00289,             0.00289
                 160,            0.015437,           0.0047035,                   0,             0.72051,             0.72727,             0.70257,             0.43753,            0.019161,           0.0040416,                   0,            0.002845,            0.002845,            0.002845
                 161,            0.012056,               0.004,                   0,             0.74715,             0.72727,             0.71093,             0.44484,            0.018642,           0.0040567,                   0,              0.0028,              0.0028,              0.0028
                 162,            0.013961,           0.0048612,                   0,             0.71717,             0.68182,             0.70674,             0.43479,            0.018525,           0.0041581,                   0,            0.002755,            0.002755,            0.002755
                 163,            0.012916,           0.0049686,                   0,             0.74724,             0.68182,              0.7033,             0.42863,             0.01843,           0.0041724,                   0,             0.00271,             0.00271,             0.00271
                 164,            0.015534,            0.005431,                   0,             0.83288,             0.59091,             0.70005,             0.45775,             0.01802,           0.0042912,                   0,            0.002665,            0.002665,            0.002665
                 165,            0.012852,           0.0049844,                   0,             0.90466,             0.59091,             0.70374,             0.45781,            0.018174,           0.0043136,                   0,             0.00262,             0.00262,             0.00262
                 166,            0.012076,           0.0045252,                   0,             0.90804,             0.59091,             0.71365,             0.45521,            0.017727,           0.0043936,                   0,            0.002575,            0.002575,            0.002575
                 167,            0.016543,           0.0081623,                   0,             0.91189,             0.59091,             0.71529,             0.47065,            0.017576,           0.0043718,                   0,             0.00253,             0.00253,             0.00253
